PO_Number,Supplier,Category,Spend,Order_Date
PO1,Supplier 39,Maintenance,23493.98,2024-01-01
PO2,Supplier 29,Chemicals,4938.99,2024-01-02
PO3,Supplier 15,IT Equipment,15757.46,2024-01-03
PO4,Supplier 43,Logistics,5955.56,2024-01-04
PO5,Supplier 8,Chemicals,8026.8,2024-01-05
PO6,Supplier 21,Packaging,13888.23,2024-01-06
PO7,Supplier 39,Maintenance,10721.24,2024-01-07
PO8,Supplier 19,Maintenance,4425.53,2024-01-08
PO9,Supplier 23,IT Equipment,4687.94,2024-01-09
PO10,Supplier 11,Packaging,10744.55,2024-01-10
PO11,Supplier 11,IT Equipment,19053.43,2024-01-11
PO12,Supplier 24,Packaging,22500.13,2024-01-12
PO13,Supplier 36,Logistics,2561.13,2024-01-13
PO14,Supplier 40,Maintenance,10131.05,2024-01-14
PO15,Supplier 24,Maintenance,2956.02,2024-01-15
PO16,Supplier 3,Logistics,906.52,2024-01-16
PO17,Supplier 22,Raw Materials,16712.11,2024-01-17
PO18,Supplier 2,IT Equipment,15260.01,2024-01-18
PO19,Supplier 24,Logistics,4493.97,2024-01-19
PO20,Supplier 44,IT Equipment,6228.41,2024-01-20
PO21,Supplier 30,Chemicals,1080.84,2024-01-21
PO22,Supplier 38,Maintenance,20956.21,2024-01-22
PO23,Supplier 2,IT Equipment,24379.92,2024-01-23
PO24,Supplier 21,Packaging,3818.76,2024-01-24
PO25,Supplier 33,IT Equipment,6171.14,2024-01-25
PO26,Supplier 12,Chemicals,21776.03,2024-01-26
PO27,Supplier 22,Maintenance,23198.36,2024-01-27
PO28,Supplier 44,Logistics,10780.87,2024-01-28
PO29,Supplier 25,Chemicals,1740.25,2024-01-29
PO30,Supplier 49,Maintenance,1465.1,2024-01-30
PO31,Supplier 27,IT Equipment,14561.77,2024-01-31
PO32,Supplier 42,Raw Materials,10125.93,2024-02-01
PO33,Supplier 28,Raw Materials,1201.98,2024-02-02
PO34,Supplier 16,Packaging,14789.68,2024-02-03
PO35,Supplier 15,Maintenance,776.91,2024-02-04
PO36,Supplier 47,Raw Materials,19790.61,2024-02-05
PO37,Supplier 44,Logistics,8007.6,2024-02-06
PO38,Supplier 3,Maintenance,1486.32,2024-02-07
PO39,Supplier 37,Logistics,14914.63,2024-02-08
PO40,Supplier 7,Logistics,10243.27,2024-02-09
PO41,Supplier 21,Raw Materials,24358.11,2024-02-10
PO42,Supplier 9,Maintenance,13832.87,2024-02-11
PO43,Supplier 39,IT Equipment,7243.36,2024-02-12
PO44,Supplier 18,Chemicals,17881.25,2024-02-13
PO45,Supplier 4,Raw Materials,7151.55,2024-02-14
PO46,Supplier 25,Raw Materials,22653.96,2024-02-15
PO47,Supplier 14,IT Equipment,9680.69,2024-02-16
PO48,Supplier 50,Maintenance,13971.78,2024-02-17
PO49,Supplier 9,Maintenance,1739.04,2024-02-18
PO50,Supplier 26,Logistics,10939.97,2024-02-19
PO51,Supplier 2,IT Equipment,20892.91,2024-02-20
PO52,Supplier 20,IT Equipment,20238.4,2024-02-21
PO53,Supplier 28,Maintenance,5995.8,2024-02-22
PO54,Supplier 47,Logistics,6038.94,2024-02-23
PO55,Supplier 7,Raw Materials,20523.98,2024-02-24
PO56,Supplier 44,Packaging,23294.76,2024-02-25
PO57,Supplier 8,Chemicals,2836.34,2024-02-26
PO58,Supplier 47,Raw Materials,11526.44,2024-02-27
PO59,Supplier 35,Maintenance,8767.63,2024-02-28
PO60,Supplier 14,Chemicals,21831.87,2024-02-29
PO61,Supplier 17,Packaging,2546.36,2024-03-01
PO62,Supplier 36,Packaging,5672.59,2024-03-02
PO63,Supplier 50,Logistics,18935.47,2024-03-03
PO64,Supplier 40,Chemicals,1756.7,2024-03-04
PO65,Supplier 4,Logistics,12567.12,2024-03-05
PO66,Supplier 2,Raw Materials,11331.62,2024-03-06
PO67,Supplier 6,IT Equipment,8692.83,2024-03-07
PO68,Supplier 42,IT Equipment,10167.02,2024-03-08
PO69,Supplier 4,IT Equipment,13483.54,2024-03-09
PO70,Supplier 29,Chemicals,4453.5,2024-03-10
PO71,Supplier 18,IT Equipment,14513.9,2024-03-11
PO72,Supplier 26,Raw Materials,20233.09,2024-03-12
PO73,Supplier 44,Logistics,19123.94,2024-03-13
PO74,Supplier 34,Chemicals,4270.55,2024-03-14
PO75,Supplier 10,Logistics,4156.61,2024-03-15
PO76,Supplier 36,Chemicals,7070.27,2024-03-16
PO77,Supplier 14,Logistics,9346.33,2024-03-17
PO78,Supplier 31,Packaging,10507.16,2024-03-18
PO79,Supplier 48,Logistics,17152.58,2024-03-19
PO80,Supplier 15,IT Equipment,1888.67,2024-03-20
PO81,Supplier 8,Packaging,1349.48,2024-03-21
PO82,Supplier 14,Logistics,10101.81,2024-03-22
PO83,Supplier 23,Chemicals,17580.51,2024-03-23
PO84,Supplier 40,Chemicals,5239.17,2024-03-24
PO85,Supplier 21,Chemicals,16216.86,2024-03-25
PO86,Supplier 16,Maintenance,6865.79,2024-03-26
PO87,Supplier 45,Raw Materials,22209.11,2024-03-27
PO88,Supplier 18,Chemicals,22444.4,2024-03-28
PO89,Supplier 47,Packaging,7783.54,2024-03-29
PO90,Supplier 24,Chemicals,6134.85,2024-03-30
PO91,Supplier 26,Maintenance,10576.95,2024-03-31
PO92,Supplier 25,IT Equipment,6393.02,2024-04-01
PO93,Supplier 45,Packaging,16973.4,2024-04-02
PO94,Supplier 41,Maintenance,20738.58,2024-04-03
PO95,Supplier 29,IT Equipment,16990.76,2024-04-04
PO96,Supplier 15,Packaging,20696.59,2024-04-05
PO97,Supplier 45,Logistics,10226.31,2024-04-06
PO98,Supplier 1,Raw Materials,4329.77,2024-04-07
PO99,Supplier 25,Raw Materials,18579.8,2024-04-08
PO100,Supplier 7,Maintenance,9331.63,2024-04-09
PO101,Supplier 9,IT Equipment,16946.14,2024-04-10
